,Ca,Month,I_ave,I_std,I_sum,Vpack_ave,Vpack_std,Vpack_sum,SOC_ave,SOC_std,SOC_sum,Vmax_ave,Vmax_std,Vmax_sum,Vmin_ave,Vmin_std,Vmin_sum,Tmax_ave,Tmax_std,Tmax_sum,Tmin_ave,Tmin_std,Tmin_sum,Vd_ave,Vd_std,Vd_sum,Td_ave,Td_std,Td_sum
Ca,1.0,0.04013642960630571,0.6581802640076992,0.5291449938144939,-0.2079152213058232,0.3517961848929512,0.8383188443442583,0.38259780313953623,0.11902316490955422,0.4403693952652144,0.39074097062419855,0.3280556695507504,0.8389702168806727,0.38205243369997327,0.4067883740597401,0.8345729035465569,0.3836728857677297,0.014650123837518493,-0.11768748706560477,0.3348104043254522,0.013443999281732236,-0.09532916761063673,0.3322907444168211,-0.5210405440171427,-0.1753164286868975,0.11495380797648576,0.032348959562809455,-0.14493567762665993,0.35069950536468486
Month,0.04013642960630571,1.0,-0.06471282060218866,-0.17596944951890509,-0.29635255755351786,-0.3575683264695576,-0.12511749561865623,0.2684595674631641,-0.2974816074204609,0.027585967674513906,0.2448836103500371,-0.35711016476039636,-0.11337884006988619,0.26863211206101645,-0.34826063324403084,-0.12413297497370678,0.2686002405588675,0.2701058831992966,-0.2066176401304274,0.3208232337251612,0.2656607395872728,-0.2010386582249332,0.32123089508478636,-0.049880395544999345,0.0035406991924835486,0.23268406679613274,0.18271975978174368,-0.09899082207943627,0.2874251848835159
I_ave,0.6581802640076992,-0.06471282060218866,1.0,0.740383467515697,-0.0914315594309824,0.3532169071358244,0.6365103289525311,0.3489342850225408,0.18704339991212643,0.272045739263194,0.3646912609921823,0.31491893158820133,0.648006163037586,0.3481071888656743,0.39342362527479796,0.6483681217154552,0.34967132307295234,-0.1608856032401951,-0.06964423306879983,0.2547390837176684,-0.16097021097562866,-0.04970602092227618,0.2509640371422112,-0.5192629790211755,0.044587102613026154,0.09337499841707358,-0.04530417257790598,-0.031246177491241117,0.2988406595586887
I_std,0.5291449938144939,-0.17596944951890509,0.740383467515697,1.0,-0.025121047724532792,0.3894201406592463,0.5871921734702822,0.21848553955209346,0.2401558715446057,0.2786771588060539,0.23855389858015222,0.3642337465441042,0.5889978626530776,0.2179424845324634,0.41677977643032715,0.5951215488907587,0.21891743837812924,-0.16560968844970414,0.011764686451781308,0.12864255878830685,-0.16562299077742185,0.027920471031696918,0.12543899778558285,-0.35094385134966294,0.22078877853414786,0.0590198325130387,-0.04835017699725615,-0.025195358409485485,0.17326369106870954
I_sum,-0.2079152213058232,-0.29635255755351786,-0.0914315594309824,-0.025121047724532792,1.0,0.03872600028335874,-0.21105843901705124,-0.9578891007545716,0.1215877389548944,-0.19390287411597554,-0.9465443931160747,0.040769547449605203,-0.22157451446296234,-0.9581680132382344,0.027705192146981944,-0.20124114076607236,-0.9575998081484011,-0.15322521715464568,0.009401142729015453,-0.9061757509310655,-0.14171195644230686,-0.019481726386672057,-0.899902633144231,0.08435927369286428,0.00977191044149557,-0.8888773578903318,-0.31272365279741376,-0.0976807756853792,-0.9397653364719024
Vpack_ave,0.3517961848929512,-0.3575683264695576,0.3532169071358244,0.3894201406592463,0.03872600028335874,1.0,0.5029822313995016,0.07228986849163903,0.8924057050617311,-0.1650022272653509,0.14370895222385052,0.9950777293311519,0.4776690683987485,0.07192803010168979,0.9924887730516174,0.5076468453222007,0.0721203095420786,-0.5046159380519224,0.15156100348726687,-0.10648020847777383,-0.5056140692734545,0.17797821990285698,-0.11362441869531999,-0.0050385262295066305,-0.13202408748476624,0.036266734448692044,-0.12505812112147863,0.07613628018507979,0.025366217630780993
Vpack_std,0.8383188443442583,-0.12511749561865623,0.6365103289525311,0.5871921734702822,-0.21105843901705124,0.5029822313995016,1.0,0.3894944162621851,0.20739789322546914,0.6710133996000246,0.4094479729179527,0.48234112867110607,0.9976772458471994,0.3889622841938919,0.5499836909265383,0.9948612023408958,0.39035474746938886,-0.08065340069062184,-0.02692500894821955,0.3147632991875983,-0.08492784879913753,0.0015992243294649848,0.310654795278486,-0.45206715761800115,-0.10242746005999465,0.1503920489225776,0.07569061978539877,-0.012981897759287764,0.3596758063742587
Vpack_sum,0.38259780313953623,0.2684595674631641,0.3489342850225408,0.21848553955209346,-0.9578891007545716,0.07228986849163903,0.3894944162621851,1.0,-0.04546539729260595,0.2732275917143315,0.9954741602745679,0.06043826604244086,0.4015109813002791,0.9999968640259663,0.0940451133778155,0.3835110884773668,0.9999947139374543,0.09169425278429032,-0.015496218905229843,0.926170823942384,0.08113878402357509,0.017646474282618545,0.9193545745957988,-0.22065038470340861,-0.003760720375175658,0.8510747615946221,0.27237431062451994,0.08636329235968414,0.9674746791718037
SOC_ave,0.11902316490955422,-0.2974816074204609,0.18704339991212643,0.2401558715446057,0.1215877389548944,0.8924057050617311,0.20739789322546914,-0.04546539729260595,1.0,-0.3766560572648806,0.03892909249307605,0.8946259097372502,0.17967944260809124,-0.04569175804784807,0.8739521212143538,0.21182459308992796,-0.0457287482369263,-0.4349927601069616,0.20949056638406355,-0.17343602991599436,-0.43318710187365606,0.22449098621113373,-0.17756563396282865,0.11519724131960467,-0.10564613517165555,-0.034078610990011395,-0.1697943172677958,0.030767734548896454,-0.08802621834579369
SOC_std,0.4403693952652144,0.027585967674513906,0.272045739263194,0.2786771588060539,-0.19390287411597554,-0.1650022272653509,0.6710133996000246,0.2732275917143315,-0.3766560572648806,1.0,0.24847968811221777,-0.17645710615830199,0.6814232272869486,0.2730239455437237,-0.11826231539916393,0.6695730625133861,0.27414085753281503,0.2615099928311421,-0.08950840845700597,0.33639479934876737,0.25807769582504636,-0.08130792762799989,0.3378425951540786,-0.3758894428914388,0.0047727255347280615,0.08747781759328259,0.15664369912133652,-0.015922247642699578,0.28379539478197957
